"","year","quarter","lms_carrier_name","mean.marketshare","median.marketshare","sd.marketshare","min.marketshare","max.marketshare","iqr.marketshare","q1.marketshare","q3.marketshare"
"125",2022,1,"Spirit Airlines, Inc.",0.563586956521739,0.4882,0.208659449177902,0.2801,1,0.25295,0.4106,0.66355
"126",2022,1,"Sun Country Airlines",0.94828,1,0.0954024475577016,0.7803,1,0.0389,0.9611,1
"127",2022,1,"United Air Lines, Inc.",0.712692418772563,0.7299,0.199053094239639,0.2425,1,0.3387,0.5556,0.8943
"128",2022,2,"Alaska Airlines, Inc.",0.623454166666667,0.5939,0.188284976359494,0.3293,1,0.273675,0.4763,0.749975
"129",2022,2,"Allegiant Air LLC ",0.868133333333333,1,0.227634013700827,0.2976,1,0.14835,0.85165,1
"130",2022,2,"American Airlines, Inc.",0.674879158316633,0.6611,0.225279405558449,0.2364,1,0.4339,0.4688,0.9027
"131",2022,2,"Casino Express",0.83755,0.89945,0.14992596506276,0.6437,1,0.21135,0.7127,0.92405
"132",2022,2,"Compania Mexicana De Aviaci",0.4993625,0.43105,0.178718157503452,0.3136,0.7977,0.284525,0.3642,0.648725
"133",2022,2,"Delta Air Lines, Inc.",0.594105957446808,0.5505,0.183524204040314,0.2797,1,0.25255,0.46065,0.7132
"134",2022,2,"Frontier Airlines, Inc.",0.73024,0.7831,0.252484965423104,0.3037,1,0.5171,0.4778,0.9949
"135",2022,2,"Jetblue Airways Corporation",0.616034722222222,0.59865,0.185819840175205,0.2773,1,0.287125,0.467275,0.7544
"136",2022,2,"Southwest Airlines",0.763333979135619,0.8115,0.209738703128354,0.2456,1,0.3854,0.58575,0.97115
"137",2022,2,"Spirit Airlines, Inc.",0.592473684210526,0.536,0.19184053581205,0.2584,1,0.314525,0.471125,0.78565
"138",2022,2,"Sun Country Airlines",0.7917,0.9464,0.263402126035459,0.4635,1,0.4514,0.5486,1
"139",2022,2,"United Air Lines, Inc.",0.693169503546099,0.6938,0.211642761000083,0.2427,1,0.373525,0.515225,0.88875
"140",2022,3,"Alaska Airlines, Inc.",0.607066,0.5854,0.192718398357049,0.2727,1,0.254925,0.46025,0.715175
"141",2022,3,"Allegiant Air LLC ",0.834415384615385,1,0.245258396410022,0.285,1,0.3439,0.6561,1
"142",2022,3,"American Airlines, Inc.",0.678820556745182,0.6483,0.218879346909552,0.2388,1,0.41145,0.4951,0.90655
"143",2022,3,"Casino Express",0.8221,0.8603,0.120253087278456,0.6658,0.9372,0.1934,0.7269,0.9203
"144",2022,3,"Compania Mexicana De Aviaci",0.498833333333333,0.4991,0.15728610487859,0.2722,0.7315,0.28005,0.353625,0.633675
"145",2022,3,"Delta Air Lines, Inc.",0.594529130434783,0.5679,0.183881325347267,0.2728,1,0.22475,0.476825,0.701575
"146",2022,3,"Frontier Airlines, Inc.",0.765321875,0.82385,0.250206122426284,0.2842,1,0.50725,0.49275,1
"147",2022,3,"Jetblue Airways Corporation",0.600808974358974,0.5448,0.184579608127758,0.3333,1,0.249675,0.467125,0.7168
"148",2022,3,"Southwest Airlines",0.764916016713092,0.8062,0.205744353855424,0.2803,1,0.369825,0.598875,0.9687
"149",2022,3,"Spirit Airlines, Inc.",0.606963414634146,0.5221,0.207325490179208,0.2769,1,0.3485,0.4603,0.8088
"150",2022,3,"United Air Lines, Inc.",0.697056317689531,0.6775,0.204849394319481,0.2525,1,0.3534,0.5317,0.8851
"151",2022,4,"Alaska Airlines, Inc.",0.590581632653061,0.5777,0.171959898030361,0.2982,0.9899,0.2025,0.4923,0.6948
"152",2022,4,"Allegiant Air LLC ",0.890690566037736,1,0.197051948699352,0.3505,1,0.1376,0.8624,1
"153",2022,4,"American Airlines, Inc.",0.646934422657952,0.5956,0.220710016908126,0.2602,1,0.3942,0.4674,0.8616
"154",2022,4,"Casino Express",0.8329,0.8119,0.130164697869386,0.6761,1,0.210975,0.73165,0.942625
"155",2022,4,"Compania Mexicana De Aviaci",0.579785714285714,0.60035,0.179058004599038,0.3087,0.8207,0.296675,0.43055,0.727225
"156",2022,4,"Delta Air Lines, Inc.",0.57762676056338,0.5442,0.186423132996802,0.2347,1,0.2211,0.4467,0.6678
