"","year","quarter","statecode1","mean.marketshare","median.marketshare","sd.marketshare","min.marketshare","max.marketshare","iqr.marketshare","q1.marketshare","q3.marketshare"
"211",2020,2,"IA",0.7446,0.7606,0.258449960340488,0.2162,1,0.39535,0.60465,1
"212",2020,2,"ID",0.71861875,0.7488,0.178773940005248,0.4318,1,0.249575,0.589625,0.8392
"213",2020,2,"IL",0.812478225806452,0.9589,0.216375013044477,0.3286,1,0.4071,0.5929,1
"214",2020,2,"IN",0.750077777777778,0.8174,0.230964005409656,0.2508,1,0.36955,0.6072,0.97675
"215",2020,2,"KY",0.759685714285714,0.8368,0.221562364400368,0.3841,1,0.34585,0.5894,0.93525
"216",2020,2,"LA",0.6758,0.6505,0.204956373406635,0.3725,1,0.3773,0.5,0.8773
"217",2020,2,"MA",0.73121226993865,0.7,0.184407815898808,0.3531,1,0.3508,0.579,0.9298
"218",2020,2,"ME",0.852966666666667,0.93555,0.21009052017325,0.461,1,0.1873,0.809875,0.997175
"219",2020,2,"MI",0.697164705882353,0.6814,0.188754347142158,0.4098,1,0.314775,0.5282,0.842975
"220",2020,2,"MN",0.665,0.66735,0.199461698305487,0.4149,1,0.29685,0.499725,0.796575
"221",2020,2,"MO",0.741822222222222,0.7381,0.180552198574973,0.3197,1,0.3031,0.5953,0.8984
"222",2020,2,"MT",0.71875,0.71875,0.397747564417433,0.4375,1,0.28125,0.578125,0.859375
"223",2020,2,"NC",0.834451428571429,0.8642,0.156669583690586,0.4318,1,0.1779,0.76975,0.94765
"224",2020,2,"ND",0.80785,0.8889,0.228595605819535,0.5217,1,0.39485,0.60515,1
"225",2020,2,"NE",0.727857142857143,0.737,0.228556483588797,0.3778,1,0.2689,0.6106,0.8795
"226",2020,2,"NM",0.770913636363636,0.7902,0.18508257435265,0.375,1,0.2139,0.6907,0.9046
"227",2020,2,"NV",0.78425,0.81685,0.202823757291248,0.4631,1,0.398325,0.58735,0.985675
"228",2020,2,"NY",0.740212598425197,0.7076,0.211473904349857,0.3889,1,0.4585,0.5415,1
"229",2020,2,"OH",0.7112875,0.6723,0.226536723630764,0.2519,1,0.42055,0.52985,0.9504
"230",2020,2,"OK",0.584354545454545,0.55,0.149863046570103,0.3311,0.86,0.1601,0.5121,0.6722
"231",2020,2,"OR",0.634695,0.55435,0.216410223211673,0.3729,1,0.312775,0.4732,0.785975
"232",2020,2,"PA",0.783907142857143,0.82795,0.194962215133267,0.3559,1,0.268825,0.64895,0.917775
"233",2020,2,"SC",0.755613043478261,0.7913,0.195326760536396,0.3678,1,0.26765,0.6266,0.89425
"234",2020,2,"TN",0.77600487804878,0.8138,0.205888572960254,0.3333,1,0.4004,0.5746,0.975
"235",2020,2,"TX",0.830937086092715,0.9152,0.186884723157407,0.3279,1,0.277425,0.706125,0.98355
"236",2020,2,"UT",0.6853,0.725,0.181886567215211,0.4171,0.9019,0.26665,0.55495,0.8216
"237",2020,2,"VA",0.715671428571429,0.8462,0.255276409295605,0.3915,1,0.5097,0.4591,0.9688
"238",2020,2,"WA",0.755342857142857,0.6969,0.180622607085814,0.523,1,0.22335,0.6552,0.87855
"239",2020,2,"WI",0.7618125,0.8355,0.238294803062649,0.3697,1,0.3556,0.628275,0.983875
"240",2020,3,"AL",0.719547368421053,0.7714,0.215430809641263,0.3216,1,0.3447,0.5508,0.8955
"241",2020,3,"AR",0.748022222222222,0.7073,0.207204734367834,0.4015,1,0.2716,0.6423,0.9139
"242",2020,3,"AZ",0.664239285714286,0.658,0.217767280369368,0.3399,1,0.3565,0.464275,0.820775
"243",2020,3,"CA",0.66539358490566,0.6404,0.204880537245547,0.2592,1,0.3133,0.5,0.8133
