"","year","quarter","statecode1","mean.passengers","median.passengers","sd.passengers","min.passengers","max.passengers","iqr.passengers","q1.passengers","q3.passengers"
"226",2020,2,"NM",19.9545454545455,15,17.302565933375,1,68,18,8.5,26.5
"227",2020,2,"NV",71.4166666666667,64,61.7427458627057,0,225,98.25,19.25,117.5
"228",2020,2,"NY",32.0551181102362,12,56.5941142105749,0,373,32.5,2,34.5
"229",2020,2,"OH",31.7166666666667,18.5,35.422345730214,0,141,36.25,4.75,41
"230",2020,2,"OK",23.6363636363636,15,21.6530493338593,4,80,22,10,32
"231",2020,2,"OR",29,20,32.4734709538336,0,109,25.5,5.75,31.25
"232",2020,2,"PA",56.7142857142857,24.5,70.3381159077392,5,198,53,10.25,63.25
"233",2020,2,"SC",16.2608695652174,11,15.9936581634495,0,57,17.5,5,22.5
"234",2020,2,"TN",28.609756097561,19,37.6569236985581,0,170,27,6,33
"235",2020,2,"TX",55.2682119205298,35,64.3239123275658,0,656,56,17,73
"236",2020,2,"UT",62,62,21.6333076527839,32,89,27.5,49,76.5
"237",2020,2,"VA",17.5714285714286,7,17.9096941028356,2,68,22,4,26
"238",2020,2,"WA",54.7142857142857,54,35.0081623135438,10,102,55.5,26.5,82
"239",2020,2,"WI",33.625,9.5,57.3107028980335,0,217,34.5,2.75,37.25
"240",2020,3,"AL",39.7894736842105,36,28.8262591463802,0,99,37,17,54
"241",2020,3,"AR",23.3333333333333,16,30.878795313289,0,101,13,5,18
"242",2020,3,"AZ",246.285714285714,182,272.548719007821,7,1294,258.75,50.75,309.5
"243",2020,3,"CA",113.007547169811,37,197.189783074289,0,1335,104,13,117
"244",2020,3,"CO",333.807692307692,278.5,260.03800018163,1,992,297,170,467
"245",2020,3,"CT",50.4615384615385,28,50.8357082253137,4,140,50,13,63
"246",2020,3,"DC",84.6666666666667,82,43.0619708482245,43,129,43,62.5,105.5
"247",2020,3,"FL",109.165217391304,58,132.033351078814,0,639,118.5,20.5,139
"248",2020,3,"GA",346.421052631579,300,347.289086806767,2,1517,521,33.5,554.5
"249",2020,3,"IA",34.5,23,38.0418429913933,2,144,20.25,14.25,34.5
"250",2020,3,"ID",72.7647058823529,70,63.228286205389,3,222,65,24,89
"251",2020,3,"IL",164.053435114504,93,213.483860423185,0,1397,137,37,174
"252",2020,3,"IN",83.5909090909091,65,74.4213609190195,1,266,82.5,32.5,115
"253",2020,3,"KY",41.0909090909091,34,28.7696178127362,4,98,21.5,28.5,50
"254",2020,3,"LA",72.3571428571429,77,54.95957555381,0,183,81.75,26.25,108
"255",2020,3,"MA",76.6724137931034,27,122.351439410952,0,797,65,12,77
"256",2020,3,"ME",56,49,29.1376045686669,31,88,28.5,40,68.5
"257",2020,3,"MI",112.386363636364,50,158.310589034413,0,748,104.25,17.5,121.75
"258",2020,3,"MN",166.214285714286,121,215.833689026253,0,807,169.75,21.75,191.5
"259",2020,3,"MO",82.5357142857143,54.5,81.015079594438,0,285,105.5,22.75,128.25
"260",2020,3,"MT",30.7826086956522,23,30.5241432338092,1,105,25,9,34
"261",2020,3,"NC",101.711111111111,55,110.915123614702,0,394,138,17,155
"262",2020,3,"ND",49,49,38.1837661840736,22,76,27,35.5,62.5
"263",2020,3,"NE",48.1,28,57.3574561655046,6,197,42,14.25,56.25
