"","year","quarter","lms_carrier_name","mean.passengers","median.passengers","sd.passengers","min.passengers","max.passengers","iqr.passengers","q1.passengers","q3.passengers"
"189",2023,3,"American Airlines, Inc.",332.438356164384,149.5,501.548311736753,0,2829,333,22.5,355.5
"190",2023,3,"Casino Express",128.111111111111,101,75.4195671633769,58,265,88,66,154
"191",2023,3,"Compania Mexicana De Aviaci",141.114285714286,135,92.9325408178273,11,339,147,60.5,207.5
"192",2023,3,"Delta Air Lines, Inc.",560.939655172414,261.5,834.622104277618,0,6218,712.75,20,732.75
"193",2023,3,"Frontier Airlines, Inc.",303.583333333333,243,313.826719934628,0,955,472.5,3.75,476.25
"194",2023,3,"Jetblue Airways Corporation",729.481481481482,418,755.132258467202,92,3546,546,281,827
"195",2023,3,"Southwest Airlines",268.135430916553,107,381.264071992426,0,3243,287,36,323
"196",2023,3,"Spirit Airlines, Inc.",442.107142857143,341,333.29836919801,69,1442,269.75,244.5,514.25
"197",2023,3,"United Air Lines, Inc.",672.505154639175,306,888.318967919993,0,5073,538,171,709
"198",2023,4,"Alaska Airlines, Inc.",781.384615384615,470.5,799.098417307272,0,3330,926.5,229,1155.5
"199",2023,4,"Allegiant Air LLC ",123,87,93.3945483776578,17,401,118,56,174
"200",2023,4,"American Airlines, Inc.",341.875273522976,146,535.124661428381,0,3322,338,21,359
"201",2023,4,"Casino Express",156.5,142,79.2117415538883,53,295,113.25,103,216.25
"202",2023,4,"Compania Mexicana De Aviaci",192.619047619048,175,105.532211286638,41,436,180,103,283
"203",2023,4,"Delta Air Lines, Inc.",538.042105263158,297,730.238656585821,0,4425,670.25,19.5,689.75
"204",2023,4,"Frontier Airlines, Inc.",361.388888888889,284,333.245738490715,0,1057,555.5,83.75,639.25
"205",2023,4,"Jetblue Airways Corporation",997.089743589744,652.5,1038.818387011,0,5964,963.5,352.5,1316
"206",2023,4,"Southwest Airlines",284.470588235294,104,408.106340239522,0,3301,332.5,35,367.5
"207",2023,4,"Spirit Airlines, Inc.",388.347826086957,376,192.578345024387,76,930,245.5,262.5,508
"208",2023,4,"Sun Country Airlines",91.75,75.5,90.1789886836174,0,216,57.75,54.75,112.5
"209",2023,4,"United Air Lines, Inc.",674.231292517007,301.5,870.349712523138,0,4973,589.25,165.5,754.75
