"","year","quarter","lms_carrier_name","mean.miles","median.miles","sd.miles","min.miles","max.miles","iqr.miles","q1.miles","q3.miles"
"182",2023,2,"Jetblue Airways Corporation",1278.21951219512,1114.5,738.170979965995,209,2704,917.75,811.25,1729
"183",2023,2,"Southwest Airlines",1169.55763688761,1025,649.716194223933,190,2704,937.75,671.25,1609
"184",2023,2,"Spirit Airlines, Inc.",1267.34482758621,1080,698.720375086899,192,2619,1228,756,1984
"185",2023,2,"Sun Country Airlines",1467.66666666667,1307,446.2469420997,1124,1972,424,1215.5,1639.5
"186",2023,2,"United Air Lines, Inc.",1081.83516483516,895,685.01515006437,192,2704,1005,516,1521
"187",2023,3,"Alaska Airlines, Inc.",1251.02040816327,962,734.949757063817,372,2724,1166,728,1894
"188",2023,3,"Allegiant Air LLC ",901.222222222222,865,315.831437408226,324,1874,373.5,679.75,1053.25
"189",2023,3,"American Airlines, Inc.",1209.16438356164,1013,734.506494082828,190,2704,1274.5,599.5,1874
"190",2023,3,"Casino Express",803.666666666667,833,213.035795114342,433,1126,249,659,908
"191",2023,3,"Compania Mexicana De Aviaci",1077.48571428571,748,755.250343046773,284,2611,1037.5,521,1558.5
"192",2023,3,"Delta Air Lines, Inc.",1175.59482758621,995.5,696.813669261805,209,2724,1046.5,623.75,1670.25
"193",2023,3,"Frontier Airlines, Inc.",1487.91666666667,1446.5,606.290210081426,601,2619,955.75,980.5,1936.25
"194",2023,3,"Jetblue Airways Corporation",1202.48148148148,1102,760.220545485175,192,2704,999,625,1624
"195",2023,3,"Southwest Airlines",1207.7414500684,1050,673.116171998241,190,2704,1036,677,1713
"196",2023,3,"Spirit Airlines, Inc.",1240.25,1039,689.289684036051,192,2619,941.5,756,1697.5
"197",2023,3,"United Air Lines, Inc.",1052.81099656357,862,668.631480905565,177,2704,1011,494,1505
"198",2023,4,"Alaska Airlines, Inc.",1413.15384615385,1008,771.966330278048,372,2724,1476,859,2335
"199",2023,4,"Allegiant Air LLC ",893.571428571429,869,289.963790842926,276,1574,396,684,1080
"200",2023,4,"American Airlines, Inc.",1209.79212253829,1061,722.92560045793,190,2704,1212,602,1814
"201",2023,4,"Casino Express",788.2,792,215.520970879608,433,1126,265.25,633.5,898.75
"202",2023,4,"Compania Mexicana De Aviaci",1022,836,595.628239760339,318,2305,615,625,1240
"203",2023,4,"Delta Air Lines, Inc.",1189.01578947368,994,709.0915230837,209,2704,1219,626,1845
"204",2023,4,"Frontier Airlines, Inc.",1380.61111111111,1273,534.425049924616,684,2510,871.5,951.5,1823
"205",2023,4,"Jetblue Airways Corporation",1246.94871794872,1106.5,741.018830008325,209,2704,792.5,791.75,1584.25
"206",2023,4,"Southwest Airlines",1218.4371657754,1057,676.269412786357,190,2704,1064,677,1741
"207",2023,4,"Spirit Airlines, Inc.",1152.95652173913,998,626.752486905235,192,2608,763.5,784,1547.5
"208",2023,4,"Sun Country Airlines",1373.75,1291.5,287.511593969124,1124,1788,189.25,1238,1427.25
"209",2023,4,"United Air Lines, Inc.",1055.7074829932,862,669.468906830958,192,2625,955.75,522,1477.75
